month_iso,product_family,customer_segment,subscription_count,active_subscription_count,beginning_arr_gbp,new_business_arr_gbp,expansion_arr_gbp,price_increase_arr_gbp,contraction_arr_gbp,churn_arr_gbp,pause_arr_gbp,net_arr_delta_gbp,ending_arr_gbp,active_arr_gbp,active_mrr_gbp,control_exception_count
2018-01-01,AI,Enterprise,1,1,0,50625,0,0,0,0,0,50625,50625,50625,4218.75,0
2018-01-01,AI,Mid-Market,1,1,0,25818.72,0,0,0,0,0,25818.72,25818.72,25818.72,2151.56,0
2018-01-01,AI,SMB,3,2,0,50125.56,0,0,0,0,0,50125.56,50125.56,50125.56,4177.13,0
2018-01-01,Analytics,SMB,5,4,0,57600,0,0,0,0,0,57600,57600,57600,4800,0
2018-01-01,Core,Enterprise,1,1,0,9383.4,0,0,0,0,0,9383.4,9383.4,9383.4,781.95,0
2018-01-01,Core,Mid-Market,3,2,0,15390,0,0,0,0,0,15390,15390,15390,1282.5,0
2018-01-01,Core,SMB,9,9,0,51258.6,0,0,0,0,0,51258.6,51258.6,51258.6,4271.55,0
2018-02-01,AI,Enterprise,3,2,50625,31466.4,0,0,0,0,0,31466.4,82091.4,82091.4,6840.95,0
2018-02-01,AI,Mid-Market,3,2,25818.72,27337.44,0,0,0,0,0,27337.44,53156.16,53156.16,4429.68,0
2018-02-01,AI,SMB,3,2,50125.56,0,0,0,0,0,0,0,50125.56,50125.56,4177.13,0
2018-02-01,Analytics,Mid-Market,3,3,0,47071.2,0,0,0,0,0,47071.2,47071.2,47071.2,3922.6,0
2018-02-01,Analytics,SMB,13,11,57600,92225.40000000001,0,0,0,0,0,92225.40000000001,149825.4,149825.4,12485.45,0
2018-02-01,Core,Enterprise,1,1,9383.4,0,0,0,0,0,0,0,9383.4,9383.4,781.95,0
2018-02-01,Core,Mid-Market,8,6,15390,30780,0,0,0,0,0,30780,46170,46170,3847.5,0
2018-02-01,Core,SMB,29,26,51258.6,96415.43999999999,0,0,0,0,0,96415.43999999999,147674.04,147674.04,12306.169999999998,0
2018-03-01,AI,Enterprise,3,2,82091.4,0,0,0,0,0,0,0,82091.4,82091.4,6840.95,0
2018-03-01,AI,Mid-Market,4,3,53156.16,21658.92,0,0,0,0,0,21658.92,74815.08,74815.08,6234.59,0
2018-03-01,AI,SMB,5,4,50125.56,45000,0,0,0,0,0,45000,95125.56,95125.56,7927.13,0
2018-03-01,Analytics,Enterprise,1,1,0,32400,0,0,0,0,0,32400,32400,32400,2700,0
2018-03-01,Analytics,Mid-Market,7,7,47071.2,79433.4,0,0,0,0,0,79433.4,126504.59999999999,126504.59999999999,10542.05,0
2018-03-01,Analytics,SMB,21,19,149825.4,114480,0,0,0,0,0,114480,264305.4,264305.4,22025.45,0
2018-03-01,Core,Enterprise,1,1,9383.4,0,0,0,0,0,0,0,9383.4,9383.4,781.95,0
2018-03-01,Core,Mid-Market,10,7,46170,7290,0,0,0,0,0,7290,53460,53460,4455,0
